week,Y,I_c,I_x,C,X,W,input_tokens,Lh,user_msgs,tool_calls,commits,reverts
2026-W27,169,84286,10273,1731886.5,101659,2.801662,3121598,0,0,889,169,0
2026-W28,55,28703,3239,1725951.77,100831.64,4.24066,8461601,0,0,1771,55,0
2026-W29,42,17484,1552,1708916.7346,98350.3744,3.788983,17710993,0,0,901,42,0
2026-W30,6,4025,167,1678763.3999080001,94583.359424,0.023074,815614,0,0,14,6,0
