week,Y,I_c,I_x,C,X,W,input_tokens,Lh,user_msgs,tool_calls,commits,reverts
2026-W17,0,0,0,123212.3846153846,26699.076923076926,0.374701,5613323,0,0,761,0,0
2026-W18,0,0,0,120748.1369230769,25631.113846153847,2.662076,51731355,0,0,5351,0,0
2026-W19,84,28970,12748,147303.17418461537,37353.86929230769,3.752274,61880201,0,0,5878,84,0
2026-W20,31,552,791,144909.11070092308,36650.71452061538,0.334185,2519783,0,0,403,31,0
2026-W21,7,10,14,142020.92848690462,35198.68593979076,0,0,0,0,0,7,0
2026-W22,3.2,667,1,139847.50991716652,33791.73850219913,0.171844,1149542,0,0,286,5,1
2026-W23,14.0625,232,759,137282.55971882318,33199.06896211117,0,0,0,0,0,16,1
2026-W24,12,265,19,134801.9085244467,31890.106203626718,0,0,0,0,0,12,0
2026-W25,10,25,71,132130.87035395778,30685.501955481646,0.516784,3469280,0,172,145,10,0
2026-W26,11,492,0,129980.25294687862,29458.08187726238,0.104467,1868894,0,105,95,11,0
2026-W27,3,900,13,128280.64788794104,28292.75860217188,0,0,0,0,0,3,0
2026-W29,11,576,46,126291.03493018221,27207.048258085004,0,0,0,0,0,11,0
2026-W30,0,0,0,123765.21423157856,26118.7663277616,0.004306,295577,0,8,6,0,0
