week,Y,I_c,I_x,C,X,W,input_tokens,Lh,user_msgs,tool_calls,commits,reverts
2026-W26,48,14967,7016,407653,104672,2.840741,19320842,0,0,887,48,0
2026-W27,59.01639344262295,7806,4741,407305.94,105226.12,1.346147,10148574,0,0,468,61,1
2026-W28,10,1269,450,400428.8212,101467.07519999999,0.244875,548879,0,0,82,10,0
