week,Y,I_c,I_x,C,X,W,input_tokens,Lh,user_msgs,tool_calls,commits,reverts
2026-W20,18,353,3089,50067,25007.857142857145,2.095605,7449632,0,0,1255,18,0
2026-W21,2,41,1,49106.659999999996,24008.542857142857,0,0,0,0,0,2,0
2026-W22,9.09090909090909,2125,280,50249.52679999999,23328.201142857142,0,0,0,0,0,11,1
2026-W23,28,3813,2503,53057.536263999995,24898.073097142857,0,0,0,0,0,28,0
2026-W24,27,637,311,52633.385538719995,24213.15017325714,0,0,0,0,0,27,0
2026-W25,2,58,203,51638.71782794559,23447.624166326856,0.355714,837302,0,140,134,2,0
